count,mean,median,min,max,std,config,trial,num_exits
80,249.6375,286.5,43,347,68.58211205372724,2 dyer - ngushta (15px),2,2
80,226.475,234.5,17,378,79.85048136987028,2 dyer - ngushta (15px),3,2
80,233.8,250.0,35,366,84.01255858501156,2 dyer - ngushta (15px),4,2
80,227.9125,243.0,18,320,70.78333026744362,2 dyer - ngushta (15px),5,2
80,222.275,221.0,35,374,84.7987286166485,2 dyer - ngushta (15px),6,2
80,263.4875,249.0,63,381,84.48165388858104,2 dyer - ngushta (15px),7,2
80,229.9375,225.0,8,351,89.0866633888036,2 dyer - ngushta (15px),8,2
80,258.9875,280.5,56,365,78.86134885829686,2 dyer - ngushta (15px),9,2
80,227.35,259.0,19,308,65.96572973900918,2 dyer - ngushta (15px),10,2
80,221.275,224.0,30,407,97.46935095197874,2 dyer - ngushta (15px),11,2
80,257.825,295.5,27,503,99.4426687845816,2 dyer - ngushta (15px),12,2
80,257.7375,281.0,25,405,102.23046803057296,2 dyer - ngushta (15px),13,2
80,212.6,237.5,11,313,79.11393682531542,2 dyer - ngushta (15px),14,2
80,230.6125,238.5,59,401,74.47323239762055,2 dyer - ngushta (15px),15,2
80,229.0875,233.5,49,340,64.51515204779416,2 dyer - ngushta (15px),16,2
80,233.5875,274.5,18,371,89.2236927264838,2 dyer - ngushta (15px),17,2
80,235.175,231.5,22,382,83.79853444422523,2 dyer - ngushta (15px),18,2
80,226.7,222.5,42,395,89.26273018455127,2 dyer - ngushta (15px),19,2
80,220.975,256.0,39,320,75.01599412791914,2 dyer - ngushta (15px),20,2
80,230.3625,235.5,32,312,67.76323556140159,2 dyer - ngushta (15px),21,2
80,244.05,264.0,21,355,86.31163015492177,2 dyer - ngushta (15px),22,2
80,216.8875,230.5,18,339,74.77499477599446,2 dyer - ngushta (15px),23,2
80,201.4625,207.0,19,350,73.88588223571537,2 dyer - ngushta (15px),24,2
80,253.9625,260.5,69,376,76.31307944087959,2 dyer - ngushta (15px),25,2
80,251.4125,261.5,34,382,90.10489633615923,2 dyer - ngushta (15px),26,2
80,244.8875,241.5,24,399,99.81545393249485,2 dyer - ngushta (15px),27,2
80,221.4375,236.5,39,303,67.08890440117501,2 dyer - ngushta (15px),28,2
80,240.1125,236.0,60,419,84.91863661028715,2 dyer - ngushta (15px),29,2
80,234.775,242.0,31,383,78.45013941988886,2 dyer - gjera (40px),0,2
80,211.2125,223.5,19,356,80.50880289601876,2 dyer - gjera (40px),1,2
80,244.65,262.0,7,441,82.6087313787108,2 dyer - gjera (40px),2,2
80,225.225,252.0,33,344,77.11192757933108,2 dyer - gjera (40px),3,2
80,237.75,262.0,39,391,85.28576962190117,2 dyer - gjera (40px),4,2
80,234.55,266.0,13,407,89.32929250811293,2 dyer - gjera (40px),5,2
80,222.725,225.0,8,376,82.76970686791152,2 dyer - gjera (40px),6,2
80,220.1,232.5,37,376,72.98297746735194,2 dyer - gjera (40px),7,2
80,233.2875,244.5,50,353,81.51505899985597,2 dyer - gjera (40px),8,2
80,216.025,217.5,29,367,83.02559469826157,2 dyer - gjera (40px),9,2
80,236.8875,255.0,21,364,87.53085081129967,2 dyer - gjera (40px),10,2
80,210.2125,215.5,31,339,82.98428974058885,2 dyer - gjera (40px),11,2
80,206.9,222.0,21,327,72.37015959634192,2 dyer - gjera (40px),12,2
80,217.5625,234.0,21,333,82.22907693602063,2 dyer - gjera (40px),13,2
80,218.3625,245.5,54,367,76.0807537669679,2 dyer - gjera (40px),14,2
80,223.8125,271.0,1,325,91.40624893162394,2 dyer - gjera (40px),15,2
80,218.875,262.0,5,342,94.05920675298086,2 dyer - gjera (40px),16,2
80,214.55,218.5,11,388,89.45528212464595,2 dyer - gjera (40px),17,2
80,238.3375,259.0,48,358,83.84389419480705,2 dyer - gjera (40px),18,2
80,214.1125,234.5,17,323,75.17113703909233,2 dyer - gjera (40px),19,2
80,224.8625,247.5,58,321,78.1187787522949,2 dyer - gjera (40px),20,2
80,192.9125,207.5,24,332,68.13647953739611,2 dyer - gjera (40px),21,2
80,214.7,250.5,19,399,95.80519296990117,2 dyer - gjera (40px),22,2
80,243.95,240.0,38,356,79.34448626086126,2 dyer - gjera (40px),23,2
80,213.3625,231.0,34,315,84.42692753944088,2 dyer - gjera (40px),24,2
80,212.75,200.0,1,337,84.45198339885215,2 dyer - gjera (40px),25,2
