count,mean,median,min,max,std,config,trial,num_exits
80,146.2875,157.5,30,247,52.040895877665285,1 derë - me pengesë,7,1
80,143.1125,139.0,43,232,48.43500638742602,1 derë - me pengesë,8,1
80,138.175,135.0,28,226,48.74365984412742,1 derë - me pengesë,9,1
80,136.8875,136.0,20,233,53.20667104555593,1 derë - me pengesë,10,1
80,151.375,151.5,21,236,52.79994673292767,1 derë - me pengesë,11,1
80,148.675,153.0,29,253,52.5280341817586,1 derë - me pengesë,12,1
80,157.4125,162.5,22,241,45.98388134716338,1 derë - me pengesë,13,1
80,151.1875,154.5,17,234,49.379928551487396,1 derë - me pengesë,14,1
80,147.5125,143.5,36,258,47.37061160413701,1 derë - me pengesë,15,1
80,148.0125,151.5,34,229,53.76255521968798,1 derë - me pengesë,16,1
80,140.2875,131.0,12,230,49.04161338852954,1 derë - me pengesë,17,1
80,154.5125,159.0,13,247,46.99388091815784,1 derë - me pengesë,18,1
80,152.0125,156.5,49,239,45.072855952890315,1 derë - me pengesë,19,1
80,146.55,150.0,36,250,53.22966747970534,1 derë - me pengesë,20,1
80,150.8,149.5,51,239,42.749093557641665,1 derë - me pengesë,21,1
80,139.35,140.5,24,249,51.13636181818179,1 derë - me pengesë,22,1
80,149.4,152.0,15,241,48.32251028247601,1 derë - me pengesë,23,1
80,145.9875,146.5,48,232,43.84161657318307,1 derë - me pengesë,24,1
80,153.0,162.5,36,244,40.29826298986099,1 derë - me pengesë,25,1
80,145.5625,142.5,39,246,51.09350343977207,1 derë - me pengesë,26,1
80,150.775,148.0,35,235,51.83748040751981,1 derë - me pengesë,27,1
80,155.85,152.0,42,269,48.65904335270064,1 derë - me pengesë,28,1
80,150.35,145.5,34,245,50.33092985431523,1 derë - me pengesë,29,1
40,146.825,144.0,55,237,47.966596450029684,Densitet i ulët (40 boid),0,1
40,138.825,137.5,40,227,47.67173559878012,Densitet i ulët (40 boid),1,1
40,136.775,142.5,54,226,40.103296310901925,Densitet i ulët (40 boid),2,1
40,150.975,149.0,49,238,48.02264439824196,Densitet i ulët (40 boid),3,1
40,129.175,127.5,33,220,47.63606170749215,Densitet i ulët (40 boid),4,1
40,150.95,148.5,40,224,47.94681949827329,Densitet i ulët (40 boid),5,1
40,138.2,135.0,55,238,43.27770788754876,Densitet i ulët (40 boid),6,1
40,142.55,147.0,61,214,49.497954503191345,Densitet i ulët (40 boid),7,1
40,155.85,142.5,51,244,46.9566555453005,Densitet i ulët (40 boid),8,1
40,139.25,151.0,27,216,46.73047720706477,Densitet i ulët (40 boid),9,1
40,140.75,144.5,23,227,45.10252210242793,Densitet i ulët (40 boid),10,1
40,137.1,138.5,53,215,40.528261744121224,Densitet i ulët (40 boid),11,1
40,151.575,149.5,59,220,46.13615041374822,Densitet i ulët (40 boid),12,1
40,130.8,132.5,34,220,42.89184071592172,Densitet i ulët (40 boid),13,1
40,126.75,122.5,43,207,39.469450211524354,Densitet i ulët (40 boid),14,1
40,142.125,131.5,44,236,53.864732200206845,Densitet i ulët (40 boid),15,1
40,141.6,144.5,45,225,50.16263549695131,Densitet i ulët (40 boid),16,1
40,134.825,139.5,39,222,47.95669270289602,Densitet i ulët (40 boid),17,1
40,158.175,168.0,56,229,43.852529858606786,Densitet i ulët (40 boid),18,1
40,146.8,146.0,12,238,50.29821070376162,Densitet i ulët (40 boid),19,1
40,145.875,145.5,41,253,49.8854625617524,Densitet i ulët (40 boid),20,1
40,148.45,141.5,66,242,43.167667298569654,Densitet i ulët (40 boid),21,1
40,137.575,125.0,44,244,53.55412565806672,Densitet i ulët (40 boid),22,1
40,148.65,149.5,49,241,44.427778472482736,Densitet i ulët (40 boid),23,1
40,137.775,131.0,45,239,45.476085748445854,Densitet i ulët (40 boid),24,1
40,156.05,152.0,99,221,37.68617120377181,Densitet i ulët (40 boid),25,1
40,141.575,150.0,56,236,44.58132316340554,Densitet i ulët (40 boid),26,1
40,122.625,119.5,32,257,51.81635238995504,Densitet i ulët (40 boid),27,1
40,148.325,149.0,37,222,48.73263152139437,Densitet i ulët (40 boid),28,1
40,124.55,126.5,21,230,47.26676951093654,Densitet i ulët (40 boid),29,1
150,141.17333333333335,137.0,22,235,47.18569651446882,Densitet i lartë (150 boid),0,1
150,145.76,147.0,17,253,52.291704887104224,Densitet i lartë (150 boid),1,1
150,136.12,137.0,11,240,47.807798527018576,Densitet i lartë (150 boid),2,1
150,136.01333333333332,132.0,38,243,48.56157420109946,Densitet i lartë (150 boid),3,1
150,137.10666666666665,138.0,28,244,49.766407233081324,Densitet i lartë (150 boid),4,1
150,144.36,144.0,42,249,47.8635950732217,Densitet i lartë (150 boid),5,1
150,143.87333333333333,140.0,34,250,49.05062645426208,Densitet i lartë (150 boid),6,1
150,146.71333333333334,147.0,28,237,49.19354112979558,Densitet i lartë (150 boid),7,1
150,138.68,140.5,1,240,48.645016188711466,Densitet i lartë (150 boid),8,1
150,150.56666666666666,148.5,1,239,44.25719025072524,Densitet i lartë (150 boid),9,1
150,144.37333333333333,148.0,1,236,49.81278907625586,Densitet i lartë (150 boid),10,1
150,142.98,142.5,28,237,46.54710445702647,Densitet i lartë (150 boid),11,1
150,137.14,136.0,20,236,48.74669629831339,Densitet i lartë (150 boid),12,1
150,140.63333333333333,145.5,28,232,46.29764812841169,Densitet i lartë (150 boid),13,1
150,136.18,139.0,24,244,48.798780039395794,Densitet i lartë (150 boid),14,1
150,142.91333333333333,146.0,25,239,51.01397673405027,Densitet i lartë (150 boid),15,1
150,139.68666666666667,143.5,13,243,51.720290881711875,Densitet i lartë (150 boid),16,1
150,138.81333333333333,140.5,25,240,47.009699235606924,Densitet i lartë (150 boid),17,1
150,147.96,148.0,31,251,49.18846477241048,Densitet i lartë (150 boid),18,1
150,146.04,151.0,33,252,47.96246866040154,Densitet i lartë (150 boid),19,1
150,147.22666666666666,147.0,33,244,46.38507614404539,Densitet i lartë (150 boid),20,1
150,135.11333333333334,135.5,1,232,53.670294287332624,Densitet i lartë (150 boid),21,1
150,137.74666666666667,140.5,6,242,44.3041287265896,Densitet i lartë (150 boid),22,1
150,143.00666666666666,144.5,42,240,47.45404747987491,Densitet i lartë (150 boid),23,1
150,144.19333333333333,145.0,9,259,53.80888361186799,Densitet i lartë (150 boid),24,1
150,144.02666666666667,143.0,13,249,47.74473048294323,Densitet i lartë (150 boid),25,1
150,133.76666666666668,137.0,19,227,46.42189378108375,Densitet i lartë (150 boid),26,1
150,145.94,148.5,39,244,50.866522061830274,Densitet i lartë (150 boid),27,1
150,135.50666666666666,127.0,5,243,56.41108007790274,Densitet i lartë (150 boid),28,1
150,149.85333333333332,148.5,43,257,49.38520516196008,Densitet i lartë (150 boid),29,1
80,157.6625,157.0,29,240,50.5464993224061,1 derë - pengesë rrethore,0,1
80,140.9875,141.5,16,228,54.514560841576994,1 derë - pengesë rrethore,1,1
80,137.975,146.0,15,238,49.74810926055382,1 derë - pengesë rrethore,2,1
80,145.425,140.0,43,242,44.58665018814488,1 derë - pengesë rrethore,3,1
80,144.45,155.0,34,230,46.18276193559671,1 derë - pengesë rrethore,4,1
80,148.475,147.0,38,232,44.85252919290059,1 derë - pengesë rrethore,5,1
80,144.225,154.5,15,230,53.077531734247025,1 derë - pengesë rrethore,6,1
80,146.25,151.0,31,245,47.937068120609965,1 derë - pengesë rrethore,7,1
80,146.5375,150.5,9,252,56.75494334196802,1 derë - pengesë rrethore,8,1
80,140.225,145.0,30,224,51.52789899656302,1 derë - pengesë rrethore,9,1
80,148.975,146.0,34,233,41.010966521163574,1 derë - pengesë rrethore,10,1
80,149.5375,143.5,40,232,54.27060524584188,1 derë - pengesë rrethore,11,1
80,139.55,147.0,1,241,48.21019083139995,1 derë - pengesë rrethore,12,1
80,150.575,153.5,52,228,44.916248451980046,1 derë - pengesë rrethore,13,1
80,135.275,138.0,11,243,48.96681912274883,1 derë - pengesë rrethore,14,1
80,147.475,145.0,27,236,47.48420132001801,1 derë - pengesë rrethore,15,1
80,146.95,147.0,39,229,50.91559191446172,1 derë - pengesë rrethore,16,1
80,140.275,140.5,19,236,52.030273639488,1 derë - pengesë rrethore,17,1
80,149.5,145.0,31,230,47.09113504684294,1 derë - pengesë rrethore,18,1
80,145.125,143.5,34,245,51.465370638906315,1 derë - pengesë rrethore,19,1
80,139.475,142.0,39,234,41.986895276978984,1 derë - pengesë rrethore,20,1
80,143.2,140.0,50,248,43.88746973795595,1 derë - pengesë rrethore,21,1
80,143.525,140.0,45,242,49.92468702956484,1 derë - pengesë rrethore,22,1
80,140.5125,140.0,39,229,45.459045785739946,1 derë - pengesë rrethore,23,1
80,145.575,148.5,49,229,47.76342088879313,1 derë - pengesë rrethore,24,1
80,135.225,131.5,9,229,52.38295882250257,1 derë - pengesë rrethore,25,1
80,139.9,144.0,9,237,45.28647701025109,1 derë - pengesë rrethore,26,1
80,125.95,127.0,1,242,47.187630794520715,1 derë - pengesë rrethore,27,1
80,142.6,136.5,35,238,53.45105237504684,1 derë - pengesë rrethore,28,1
80,150.275,146.0,34,246,55.94058790359644,1 derë - pengesë rrethore,29,1
80,146.825,146.5,27,239,47.90740417722505,1 derë - pengesë e rrotulluar 30°,0,1
80,157.8125,155.0,54,253,52.660728667100685,1 derë - pengesë e rrotulluar 30°,1,1
80,156.3625,162.0,52,242,51.935836315110976,1 derë - pengesë e rrotulluar 30°,2,1
80,144.0,136.0,38,247,48.36915339345935,1 derë - pengesë e rrotulluar 30°,3,1
80,151.325,156.0,41,231,47.188127479271735,1 derë - pengesë e rrotulluar 30°,4,1
80,145.9625,142.0,28,234,51.61357470423842,1 derë - pengesë e rrotulluar 30°,5,1
80,149.5625,143.5,48,254,51.12114135805264,1 derë - pengesë e rrotulluar 30°,6,1
80,144.15,137.0,38,254,50.780926537431355,1 derë - pengesë e rrotulluar 30°,7,1
80,140.075,145.0,35,262,54.566421680370425,1 derë - pengesë e rrotulluar 30°,8,1
80,164.7125,165.5,59,252,47.61202415094321,1 derë - pengesë e rrotulluar 30°,9,1
80,160.525,160.0,30,247,54.490360386035256,1 derë - pengesë e rrotulluar 30°,10,1
80,151.0125,144.0,35,251,53.509927525179855,1 derë - pengesë e rrotulluar 30°,11,1
