count,mean,median,min,max,std,config,trial,num_exits
80,351.15,389.0,57,656,136.08389875367328,1 derë - pengesë kanalizuese,0,1
80,382.775,379.5,53,655,137.93784605756318,1 derë - pengesë kanalizuese,1,1
80,317.5375,298.5,61,623,142.72928428934966,1 derë - pengesë kanalizuese,2,1
80,369.75,391.0,20,620,145.40387718351943,1 derë - pengesë kanalizuese,3,1
80,365.375,368.5,45,574,147.077817413096,1 derë - pengesë kanalizuese,4,1
80,298.4625,315.0,71,615,111.9451811993263,1 derë - pengesë kanalizuese,5,1
80,368.5375,385.5,36,651,118.45188303167662,1 derë - pengesë kanalizuese,6,1
80,302.75,285.5,67,554,113.9505923635327,1 derë - pengesë kanalizuese,7,1
80,327.8625,363.0,43,474,107.97670394001662,1 derë - pengesë kanalizuese,8,1
80,307.5125,315.0,76,567,101.85516601405155,1 derë - pengesë kanalizuese,9,1
80,368.575,396.5,1,758,184.73039645656587,1 derë - pengesë kanalizuese,10,1
80,388.9125,358.0,74,743,182.64830917298414,1 derë - pengesë kanalizuese,11,1
80,310.15,285.0,28,627,144.23869973068946,1 derë - pengesë kanalizuese,12,1
80,339.525,322.0,58,576,145.02284087342932,1 derë - pengesë kanalizuese,13,1
80,387.3125,376.5,62,656,171.02664951331417,1 derë - pengesë kanalizuese,14,1
80,342.15,368.5,47,627,138.30194322568283,1 derë - pengesë kanalizuese,15,1
80,363.5625,387.0,54,646,153.5530725636905,1 derë - pengesë kanalizuese,16,1
80,410.4875,364.0,45,746,163.38887613222022,1 derë - pengesë kanalizuese,17,1
80,363.8,379.0,79,762,142.84321824994,1 derë - pengesë kanalizuese,18,1
80,343.025,298.0,92,664,147.38308714028216,1 derë - pengesë kanalizuese,19,1
80,315.4,320.0,16,555,127.00812966105754,1 derë - pengesë kanalizuese,20,1
80,338.0625,382.0,15,610,113.34155722306801,1 derë - pengesë kanalizuese,21,1
80,394.425,362.5,68,645,142.95268229382756,1 derë - pengesë kanalizuese,22,1
80,312.0375,337.0,84,523,106.36980818705091,1 derë - pengesë kanalizuese,23,1
80,371.475,330.0,13,630,168.80676637800985,1 derë - pengesë kanalizuese,24,1
80,405.125,468.0,74,636,153.88968248391444,1 derë - pengesë kanalizuese,25,1
80,303.625,317.5,23,527,97.17450475819261,1 derë - pengesë kanalizuese,26,1
80,341.2375,339.0,1,646,143.43999126376855,1 derë - pengesë kanalizuese,27,1
80,309.7125,358.5,16,640,136.18096358797732,1 derë - pengesë kanalizuese,28,1
80,350.75,317.5,65,647,155.09235151998953,1 derë - pengesë kanalizuese,29,1
80,230.7125,236.0,13,398,84.41951695994238,2 dyer,0,2
